Part Instance,Node ID,Attached elements,Values,Measurement Type,Element Type,Interpolation Type,Element Size
OSSO-4,D,21183,0.0894114,"S, Mises",quad,quad,0.25
OSSO-4,A,26,0.291923,"S, Mises",tri,lin,10.0
OSSO-4,A,83,0.291923,"S, Mises",tri,lin,10.0
OSSO-4,A,95,0.291923,"S, Mises",tri,lin,10.0
OSSO-4,B,63,0.137609,"S, Mises",tri,lin,10.0
OSSO-4,B,77,0.137609,"S, Mises",tri,lin,10.0
OSSO-4,B,117,0.137609,"S, Mises",tri,lin,10.0
OSSO-4,B,122,0.137609,"S, Mises",tri,lin,10.0
OSSO-4,C,10,0.0804607,"S, Mises",tri,lin,10.0
OSSO-4,C,44,0.0804607,"S, Mises",tri,lin,10.0
OSSO-4,C,55,0.0804607,"S, Mises",tri,lin,10.0
OSSO-4,D,4,0.321668,"S, Mises",tri,lin,10.0
OSSO-4,D,65,0.321668,"S, Mises",tri,lin,10.0
OSSO-4,D,72,0.321668,"S, Mises",tri,lin,10.0
OSSO-4,D,76,0.321668,"S, Mises",tri,lin,10.0
OSSO-4,A,43,0.00258119,"U, Magnitude",quad,quad,3.0
OSSO-4,A,65,0.00258119,"U, Magnitude",quad,quad,3.0
OSSO-4,B,50,0.00421167,"U, Magnitude",quad,quad,3.0
OSSO-4,B,85,0.00421167,"U, Magnitude",quad,quad,3.0
OSSO-4,C,57,0.00554891,"U, Magnitude",quad,quad,3.0
OSSO-4,C,90,0.00554891,"U, Magnitude",quad,quad,3.0
OSSO-4,D,32,0.00120321,"U, Magnitude",quad,quad,3.0
OSSO-4,D,66,0.00120321,"U, Magnitude",quad,quad,3.0
OSSO-4,A,43,0.224095,"S, Mises",quad,lin,3.0
OSSO-4,A,65,0.224095,"S, Mises",quad,lin,3.0
OSSO-4,B,50,0.158156,"S, Mises",quad,lin,3.0
OSSO-4,B,85,0.158156,"S, Mises",quad,lin,3.0
OSSO-4,C,57,0.0971908,"S, Mises",quad,lin,3.0
OSSO-4,C,90,0.0971908,"S, Mises",quad,lin,3.0
OSSO-4,D,32,0.120277,"S, Mises",quad,lin,3.0
OSSO-4,D,66,0.120277,"S, Mises",quad,lin,3.0
OSSO-4,A,67,0.00255104,"U, Magnitude",tri,lin,2.0
OSSO-4,A,428,0.00255104,"U, Magnitude",tri,lin,2.0
OSSO-4,A,623,0.00255104,"U, Magnitude",tri,lin,2.0
OSSO-4,B,433,0.00416667,"U, Magnitude",tri,lin,2.0
OSSO-4,B,543,0.00416667,"U, Magnitude",tri,lin,2.0
OSSO-4,B,630,0.00416667,"U, Magnitude",tri,lin,2.0
OSSO-4,C,440,0.00548807,"U, Magnitude",tri,lin,2.0
OSSO-4,C,618,0.00548807,"U, Magnitude",tri,lin,2.0
OSSO-4,C,635,0.00548807,"U, Magnitude",tri,lin,2.0
OSSO-4,D,228,0.00118249,"U, Magnitude",tri,lin,2.0
OSSO-4,D,496,0.00118249,"U, Magnitude",tri,lin,2.0
OSSO-4,D,499,0.00118249,"U, Magnitude",tri,lin,2.0
OSSO-4,A,48,0.215419,"S, Mises",tri,quad,3.0
OSSO-4,A,104,0.215419,"S, Mises",tri,quad,3.0
OSSO-4,A,375,0.215419,"S, Mises",tri,quad,3.0
